True;Country_Name;Regional indicator;Ladder score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;cost of living index;cost of living plus rent index;Groceries index;restaurant price index;local purchasing power index;time_available_on_site;required visa for french citizen
0;Finland;Western Europe;7,842;0,032;7,904;7,78;10,775;0,954;72,0;0,949;-0,098;0,186;2,43;1,446;1,106;0,741;0,691;0,124;0,481;3,253;73.20;51.05;65.16;77.65;91.02;Unlimited stay;not required
1;Denmark;Western Europe;7,62;0,035;7,687;7,552;10,933;0,954;72,7;0,946;0,03;0,179;2,43;1,502;1,108;0,763;0,686;0,208;0,485;2,868;84.12;60.26;68.60;98.75;99.45;Unlimited stay;not required
2;Switzerland;Western Europe;7,571;0,036;7,643;7,5;11,117;0,942;74,4;0,919;0,025;0,292;2,43;1,566;1,079;0,816;0,653;0,204;0,413;2,839;123.35;90.62;128.13;122.09;118.44;Unlimited stay;not required
3;Iceland;Western Europe;7,554;0,059;7,67;7,438;10,878;0,983;73,0;0,955;0,16;0,673;2,43;1,482;1,172;0,772;0,698;0,293;0,17;2,967;94.86;70.05;90.22;99.42;77.06;Unlimited stay;not required
4;Netherlands;Western Europe;7,464;0,027;7,518;7,41;10,932;0,942;72,4;0,913;0,175;0,338;2,43;1,501;1,079;0,753;0,647;0,302;0,384;2,798;75.66;57.10;65.49;76.35;87.99;Unlimited stay;not required
5;Norway;Western Europe;7,392;0,035;7,462;7,323;11,053;0,954;73,3;0,96;0,093;0,27;2,43;1,543;1,108;0,782;0,703;0,249;0,427;2,58;100.90;69.86;97.31;105.49;83.11;Unlimited stay;not required
6;Sweden;Western Europe;7,363;0,036;7,433;7,293;10,867;0,934;72,7;0,945;0,086;0,237;2,43;1,478;1,062;0,763;0,685;0,244;0,448;2,683;71.74;50.23;65.78;72.61;98.14;Unlimited stay;not required
7;Luxembourg;Western Europe;7,324;0,037;7,396;7,252;11,647;0,908;72,6;0,907;-0,034;0,386;2,43;1,751;1,003;0,76;0,639;0,166;0,353;2,653;80.50;70.93;74.75;88.79;98.84;Unlimited stay;not required
8;New Zealand;North America and ANZ;7,277;0,04;7,355;7,198;10,643;0,948;73,4;0,929;0,134;0,242;2,43;1,4;1,094;0,785;0,665;0,276;0,445;2,612;74.52;55.73;72.04;70.05;83.63;3 months;Evisa
9;Austria;Western Europe;7,268;0,036;7,337;7,198;10,906;0,934;73,3;0,908;0,042;0,481;2,43;1,492;1,062;0,782;0,64;0,215;0,292;2,784;71.04;50.46;65.88;66.03;77.25;Unlimited stay;not required
10;Australia;North America and ANZ;7,183;0,041;7,265;7,102;10,796;0,94;73,9;0,914;0,159;0,442;2,43;1,453;1,076;0,801;0,647;0,291;0,317;2,598;77.75;58.57;77.44;72.95;104.63;90 days;Evisa
11;Israel;Middle East and North Africa;7,157;0,034;7,224;7,09;10,575;0,939;73,503;0,8;0,031;0,753;2,43;1,376;1,074;0,788;0,509;0,208;0,119;3,083;88.05;62.69;76.72;95.31;75.58;90 days;not required
12;Germany;Western Europe;7,155;0,04;7,232;7,077;10,873;0,903;72,5;0,875;0,011;0,46;2,43;1,48;0,993;0,757;0,6;0,195;0,306;2,824;65.58;47.78;52.31;60.91;103.08;Unlimited stay;not required
13;Canada;North America and ANZ;7,103;0,042;7,185;7,021;10,776;0,926;73,8;0,915;0,089;0,415;2,43;1,447;1,044;0,798;0,648;0,246;0,335;2,585;70.22;53.40;70.01;67.86;87.98;180 days;not required
14;Ireland;Western Europe;7,085;0,04;7,164;7,006;11,342;0,947;72,4;0,879;0,077;0,363;2,43;1,644;1,092;0,753;0,606;0,238;0,367;2,384;76.05;60.13;62.10;80.40;82.27;Unlimited stay;not required
15;Costa Rica;Latin America and Caribbean;7,069;0,056;7,179;6,96;9,88;0,891;71,4;0,934;-0,126;0,809;2,43;1,134;0,966;0,722;0,673;0,105;0,083;3,387;47.01;31.87;45.54;41.69;39.88;90 days;not required
16;United Kingdom;Western Europe;7,064;0,038;7,138;6,99;10,707;0,934;72,5;0,859;0,233;0,459;2,43;1,423;1,062;0,757;0,58;0,34;0,306;2,596;69.65;51.93;56.58;76.79;88.78;80 days;not required
17;Czech Republic;Central and Eastern Europe;6,965;0,049;7,062;6,868;10,556;0,947;70,807;0,858;-0,208;0,868;2,43;1,37;1,09;0,703;0,58;0,052;0,046;3,124;48.24;34.25;42.76;36.72;66.47;Unlimited stay;not required
18;United States;North America and ANZ;6,951;0,049;7,047;6,856;11,023;0,92;68,2;0,837;0,098;0,698;2,43;1,533;1,03;0,621;0,554;0,252;0,154;2,807;70.13;56.98;70.37;70.07;106.34;90 days;not required
19;Belgium;Western Europe;6,834;0,034;6,901;6,767;10,823;0,906;72,199;0,783;-0,153;0,646;2,43;1,463;0,998;0,747;0,489;0,088;0,187;2,862;72.61;50.67;63.32;78.63;79.72;Unlimited stay;not required
20;Bahrain;Middle East and North Africa;6,647;0,068;6,779;6,514;10,669;0,862;69,495;0,925;0,089;0,722;2,43;1,409;0,899;0,662;0,661;0,246;0,139;2,631;54.77;42.79;44.59;48.94;61.41;14 days;Evisa
21;Malta;Western Europe;6,602;0,044;6,688;6,516;10,674;0,931;72,2;0,927;0,133;0,653;2,43;1,411;1,055;0,747;0,664;0,275;0,183;2,268;67.84;49.97;59.59;72.42;44.18;Unlimited stay;not required
22;United Arab Emirates;Middle East and North Africa;6,561;0,039;6,637;6,484;11,085;0,844;67,333;0,932;0,074;0,589;2,43;1,555;0,86;0,594;0,67;0,236;0,223;2,422;58.33;51.28;46.67;61.53;92.17;90 days;not required
23;Saudi Arabia;Middle East and North Africa;6,494;0,056;6,604;6,384;10,743;0,891;66,603;0,877;-0,149;0,684;2,43;1,435;0,964;0,571;0,603;0,09;0,163;2,668;50.41;32.25;42.57;35.50;91.85;90 days;Evisa
24;Spain;Western Europe;6,491;0,042;6,574;6,408;10,571;0,932;74,7;0,761;-0,081;0,745;2,43;1,375;1,057;0,826;0,462;0,135;0,124;2,513;53.88;38.58;45.69;53.96;70.04;Unlimited stay;not required
25;Italy;Western Europe;6,483;0,045;6,572;6,395;10,623;0,88;73,8;0,693;-0,084;0,866;2,43;1,393;0,94;0,798;0,379;0,133;0,047;2,794;66.47;44.95;57.95;70.58;61.74;Unlimited stay;not required
